week_no,item_code,holiday_flag,holiday_score,grow_score
201852,1207,3,0,0
201852,1209,3,0,0
201901,501,3,0,6
201901,601,3,0,0
201901,602,3,0,0
201901,1001,3,0,6
201901,1005,3,0,18
201901,1101,3,0,12
201901,1201,3,0,0
201901,1207,3,0,18
201901,1209,3,0,0
201902,501,2,0,10
201902,601,2,0,0
201902,602,2,0,0
201902,1001,2,0,10
201902,1005,2,0,21
201902,1101,2,0,14
201902,1201,2,0,0
201902,1207,2,0,21
201902,1209,2,0,0
201903,501,2,0,14
201903,601,2,0,0
201903,602,2,0,0
201903,1001,2,0,14
201903,1005,2,0,21
201903,1101,2,0,14
201903,1201,2,0,0
201903,1207,2,0,21
201903,1209,2,0,0
201904,501,2,1.0714,21
201904,601,2,1.0714,0
201904,602,2,1.0714,0
201904,1001,2,1.0714,14
201904,1005,2,1.0714,14
201904,1101,2,1.0714,21
201904,1201,2,1.0714,0
201904,1207,2,1.0714,21
201904,1209,2,1.0714,0
201905,501,2,4.5,12
201905,601,2,4.5,3
201905,602,2,4.5,3
201905,1001,2,4.5,20
201905,1005,2,4.5,14
201905,1101,2,4.5,21
201905,1201,2,4.5,0
201905,1207,2,4.5,27
201905,1209,2,4.5,0
201906,501,5,3.9286,0
201906,601,5,3.9286,7
201906,602,5,3.9286,7
201906,1001,5,3.9286,28
201906,1005,5,3.9286,14
201906,1101,5,3.9286,21
201906,1201,5,3.9286,0
201906,1207,5,3.9286,35
201906,1209,5,3.9286,0
201907,501,2,0.1,28
201907,601,2,0.1,7
201907,602,2,0.1,7
201907,1001,2,0.1,28
201907,1005,2,0.1,14
201907,1101,2,0.1,28
201907,1201,2,0.1,0
201907,1207,2,0.1,35
201907,1209,2,0.1,0
201908,501,2,0,12
201908,601,2,0,11
201908,602,2,0,11
201908,1001,2,0,12
201908,1005,2,0,14
201908,1101,2,0,28
201908,1201,2,0,20
201908,1207,2,0,35
201908,1209,2,0,16
201909,501,3,0,0
201909,601,3,0,14
201909,602,3,0,14
201909,1001,3,0,0
201909,1005,3,0,11
201909,1101,3,0,31
201909,1201,3,0,35
201909,1207,3,0,20
201909,1209,3,0,28
201910,501,2,0,0
201910,601,2,0,14
201910,602,2,0,14
201910,1001,2,0,0
201910,1005,2,0,7
201910,1101,2,0,35
201910,1201,2,0,35
201910,1207,2,0,0
201910,1209,2,0,28
201911,501,2,0,0
201911,601,2,0,21
201911,602,2,0,21
201911,1001,2,0,35
201911,1005,2,0,7
201911,1101,2,0,7
201911,1201,2,0,35
201911,1207,2,0,0
201911,1209,2,0,35
201912,501,2,0,0
201912,601,2,0,21
201912,602,2,0,21
201912,1001,2,0,35
201912,1005,2,0,7
201912,1101,2,0,7
201912,1201,2,0,39
201912,1207,2,0,24
201912,1209,2,0,39
201913,501,2,0,0
201913,601,2,0,21
201913,602,2,0,21
201913,1001,2,0,35
201913,1005,2,0,7
201913,1101,2,0,7
201913,1201,2,0,42
201913,1207,2,0,42
201913,1209,2,0,42
201914,501,2,0,0
201914,601,2,0,42
201914,602,2,0,42
201914,1001,2,0,42
201914,1005,2,0,21
201914,1101,2,0,0
201914,1201,2,0,42
201914,1207,2,0,42
201914,1209,2,0,42
201915,501,2,0,0
201915,601,2,0,42
201915,602,2,0,42
201915,1001,2,0,42
201915,1005,2,0,21
201915,1101,2,0,0
201915,1201,2,0,42
201915,1207,2,0,42
201915,1209,2,0,18
201916,501,2,0,0
201916,601,2,0,42
201916,602,2,0,42
201916,1001,2,0,43
201916,1005,2,0,21
201916,1101,2,0,0
201916,1201,2,0,43
201916,1207,2,0,42
201916,1209,2,0,0
201917,501,2,0,0
201917,601,2,0,42
201917,602,2,0,42
201917,1001,2,0,49
201917,1005,2,0,21
201917,1101,2,0,0
201917,1201,2,0,49
201917,1207,2,0,42
201917,1209,2,0,0
201918,501,2,0,5
201918,601,2,0,42
201918,602,2,0,42
201918,1001,2,0,49
201918,1005,2,0,16
201918,1101,2,0,0
201918,1201,2,0,49
201918,1207,2,0,47
201918,1209,2,0,0
201919,501,3,0,9
201919,601,3,0,42
201919,602,3,0,42
201919,1001,3,0,35
201919,1005,3,0,14
201919,1101,3,0,0
201919,1201,3,0,49
201919,1207,3,0,49
201919,1209,3,0,0
201920,501,2,0,14
201920,601,2,0,42
201920,602,2,0,42
