연월일,품종코드,등급코드,총거래량(kg),주간평균단가(원),직팜산지코드,일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,총금액(원)
2018-01-02,06,11,400.0,4874.01804810742,1107,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,2568000.0
2018-01-02,06,12,40.0,4874.01804810742,1001,-3.5,3.5,-9.4,55.1,0.0,0.0,1,0.0,0.0,250000.0
2018-01-02,17,13,224.0,4874.01804810742,1116,4.1,9.4,-0.3,39.6,0.0,0.0,1,0.0,0.0,588000.0
2018-01-02,06,12,70.0,4874.01804810742,1047,-1.4,0.8,-4.3,46.3,0.0,0.0,1,0.0,0.0,385000.0
2018-01-02,06,12,200.0,4874.01804810742,1107,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,1053100.0
2018-01-02,06,12,30.0,4874.01804810742,1102,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,139500.0
2018-01-02,17,13,10.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,24316.0
2018-01-02,05,13,8.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,22000.0
2018-01-02,05,13,4.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,12780.0
2018-01-02,17,13,10.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,23430.0
2018-01-02,17,13,16.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,46860.0
2018-01-02,17,13,24.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,63000.0
2018-01-02,05,13,20.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,55920.0
