weekno,품종코드,등급코드,직팜산지코드,총금액(원),총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,평균단가(원)
2018_01,06,11,1070,4556781.0,676.0,-3.85,1.6,-8.7,45.46666666666667,0.0,0.0,6,0.0,0.0,6741.0
2018_01,06,11,1079,527800.0,76.0,0.28,8.4,-7.0,55.760000000000005,0.0,0.0,5,0.0,0.0,6945.0
2018_01,06,11,1093,26294000.0,3980.0,0.6533333333333334,3.9,-4.4,75.76,0.0,0.0,15,0.0,0.0,6607.0
2018_01,06,11,1100,14930000.0,2200.0,1.2,5.2,-1.7,52.56666666666666,0.0,0.0,3,0.0,0.0,6786.0
2018_01,06,11,1107,18073157.0,2750.0,-0.8250000000000001,6.7,-4.3,63.974999999999994,0.0,0.0,8,0.0,0.0,6572.0
2018_01,06,11,1112,5180000.0,789.0,-1.5444444444444445,6.1,-10.1,69.05555555555556,0.0,0.0,9,0.0,0.0,6565.0
2018_01,06,11,1116,137400.0,20.0,2.8,7.7,-1.7,38.3,0.0,0.0,1,0.0,0.0,6870.0
2018_01,06,11,1121,116510850.0,19285.0,0.9000000000000001,8.8,-8.2,35.50714285714286,0.0,0.0,14,0.0,0.0,6042.0
2018_01,06,11,1131,2232000.0,340.0,2.45,7.1,-1.7,44.55,0.0,0.0,2,0.0,0.0,6565.0
2018_01,06,11,1132,4200000.0,800.0,-3.5,8.0,-12.4,44.6,0.0,0.0,1,0.0,0.0,5250.0
2018_01,06,11,1136,77501000.0,11870.0,4.75625,8.4,1.9,65.625,27.0,0.0,16,0.0,0.0,6529.0
2018_01,06,11,1138,1956000.0,280.0,2.1,6.5,-0.4,36.5,0.0,0.0,2,0.0,0.0,6986.0
2018_01,06,11,1141,12708300.0,2105.0,-0.9833333333333333,9.1,-11.5,47.833333333333336,0.0,0.0,6,0.0,0.0,6037.0
2018_01,06,11,1157,7311750.0,1110.0,-0.09999999999999999,5.0,-4.4,33.25,0.0,0.0,2,0.0,0.0,6587.0
2018_01,06,11,1162,3582800.0,580.0,-4.9,1.4,-12.4,59.0,0.0,0.0,1,0.0,0.0,6177.0
2018_01,06,11,1164,2608000.0,400.0,-3.033333333333333,2.9,-13.2,72.66666666666667,0.0,0.0,3,0.0,0.0,6520.0
2018_01,06,11,1170,2016000.0,320.0,4.6,5.8,3.5,58.6,0.0,0.0,1,0.0,0.0,6300.0
2018_01,06,12,1000,189946634.0,33036.0,-4.048148148148148,1.8,-10.5,44.209259259259255,0.0,0.0,54,0.0,0.0,5750.0
2018_01,06,12,1001,5419000.0,932.0,-4.96,3.5,-11.7,63.81,0.0,0.0,10,0.0,0.0,5814.0
2018_01,06,12,1008,1925000.0,330.0,-3.0,1.7,-6.4,59.5,0.0,0.0,3,0.0,0.0,5833.0
