weekno,품종코드,등급코드,직팜산지코드,총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,year,week,week_start,평균단가(원)
2018_01,6,11,1008,300.0,-4.5,-0.7,-9.6,54.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,6700.0
2018_01,6,11,1025,990.0,-0.75,4.0,-5.5,66.55,0.0,0.0,8,0.0,0.0,2018,01,2018-01-01,6938.0
2018_01,6,11,1030,80.0,-2.9,2.9,-6.9,67.45,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,6831.0
2018_01,6,11,1033,751.0,-2.466666666666667,2.6,-10.1,61.43333333333334,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,6591.0
2018_01,6,11,1034,2939.0,-25.16818181818182,2.9,-99.0,48.66363636363636,0.0,0.0,22,0.0,0.0,2018,01,2018-01-01,6446.0
2018_01,6,11,1036,4000.0,-1.925,3.3,-6.2,53.225,0.0,0.0,8,0.0,0.0,2018,01,2018-01-01,6400.0
2018_01,6,11,1047,1215.0,-4.229411764705882,0.8,-9.1,50.92941176470588,0.0,0.0,17,0.0,0.0,2018,01,2018-01-01,6347.0
2018_01,6,11,1050,760.0,-4.9,-1.0,-9.1,52.1,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,5967.0
2018_01,6,11,1055,810.0,-3.8,-0.2,-7.6,52.84285714285714,0.0,0.0,7,0.0,0.0,2018,01,2018-01-01,6974.0
2018_01,6,11,1070,676.0,-3.85,1.6,-8.7,45.46666666666667,0.0,0.0,6,0.0,0.0,2018,01,2018-01-01,6741.0
2018_01,6,11,1079,76.0,0.28,8.4,-7.0,55.760000000000005,0.0,0.0,5,0.0,0.0,2018,01,2018-01-01,6945.0
2018_01,6,11,1093,3980.0,0.6533333333333334,3.9,-4.4,75.76,0.0,0.0,15,0.0,0.0,2018,01,2018-01-01,6607.0
2018_01,6,11,1100,2200.0,1.2,5.2,-1.7,52.56666666666666,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,6786.0
2018_01,6,11,1107,2750.0,-0.8250000000000001,6.7,-4.3,63.975,0.0,0.0,8,0.0,0.0,2018,01,2018-01-01,6572.0
2018_01,6,11,1112,789.0,-1.5444444444444445,6.1,-10.1,69.05555555555556,0.0,0.0,9,0.0,0.0,2018,01,2018-01-01,6565.0
2018_01,6,11,1116,20.0,2.8,7.7,-1.7,38.3,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,6870.0
2018_01,6,11,1121,19285.0,0.9000000000000001,8.8,-8.2,35.50714285714286,0.0,0.0,14,0.0,0.0,2018,01,2018-01-01,6042.0
2018_01,6,11,1131,340.0,2.45,7.1,-1.7,44.55,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,6565.0
2018_01,6,11,1132,800.0,-3.5,8.0,-12.4,44.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,5250.0
2018_01,6,11,1136,11870.0,4.75625,8.4,1.9,65.625,27.0,0.0,16,0.0,0.0,2018,01,2018-01-01,6529.0
2018_01,6,11,1138,280.0,2.1,6.5,-0.4,36.5,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,6986.0
2018_01,6,11,1141,2105.0,-0.9833333333333332,9.1,-11.5,47.833333333333336,0.0,0.0,6,0.0,0.0,2018,01,2018-01-01,6037.0
2018_01,6,11,1157,1110.0,-0.0999999999999999,5.0,-4.4,33.25,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,6587.0
2018_01,6,11,1162,580.0,-4.9,1.4,-12.4,59.0,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,6177.0
2018_01,6,11,1164,400.0,-3.033333333333333,2.9,-13.2,72.66666666666667,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,6520.0
2018_01,6,11,1170,320.0,4.6,5.8,3.5,58.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,6300.0
2018_01,6,12,1000,33036.0,-4.048148148148148,1.8,-10.5,44.209259259259255,0.0,0.0,54,0.0,0.0,2018,01,2018-01-01,5750.0
2018_01,6,12,1001,932.0,-4.96,3.5,-11.7,63.81,0.0,0.0,10,0.0,0.0,2018,01,2018-01-01,5814.0
2018_01,6,12,1008,330.0,-3.0,1.7,-6.4,59.5,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,5833.0
2018_01,6,12,1019,10600.0,-1.65,3.9,-6.0,55.8,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,6049.0
2018_01,6,12,1021,7300.0,,,,,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,5452.0
2018_01,6,12,1024,7.0,-1.8,2.9,-7.0,55.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,3571.0
2018_01,6,12,1025,700.0,-0.75,4.0,-5.5,66.55,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,5807.0
2018_01,6,12,1030,130.0,-3.233333333333333,2.9,-6.9,65.8,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,5508.0
2018_01,6,12,1033,980.0,-3.4,2.6,-10.1,55.5,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,4087.0
2018_01,6,12,1034,18440.0,-38.449122807017545,2.9,-99.0,39.04736842105264,0.0,0.0,57,0.0,0.0,2018,01,2018-01-01,5257.0
